Fecha,Precipitacion_l_m2,Horas_de_sol
01-01-2000,0,
02-01-2000,0,
03-01-2000,0,
04-01-2000,0,
05-01-2000,0,
06-01-2000,0,
07-01-2000,0,
08-01-2000,10.6,
09-01-2000,0,
10-01-2000,0,
11-01-2000,0,
12-01-2000,0,
13-01-2000,21.5,
14-01-2000,5.4,
15-01-2000,0,
16-01-2000,0,
17-01-2000,0,
18-01-2000,0,
19-01-2000,0,
20-01-2000,0,
21-01-2000,0,
22-01-2000,0,
23-01-2000,0,
24-01-2000,0,
25-01-2000,0,
26-01-2000,0,
27-01-2000,0,
28-01-2000,0,
29-01-2000,0,
30-01-2000,0,
31-01-2000,0.3,
01-02-2000,5.9,
02-02-2000,0,
03-02-2000,0,
04-02-2000,0,
05-02-2000,0,
06-02-2000,0.5,
07-02-2000,0,
08-02-2000,5.4,
09-02-2000,0.2,
10-02-2000,9.7,
11-02-2000,2.1,
12-02-2000,0,
13-02-2000,0.7,
14-02-2000,0,
15-02-2000,0.4,
16-02-2000,4,
17-02-2000,1.3,
18-02-2000,0,
19-02-2000,0.2,
20-02-2000,0,
21-02-2000,0.3,
22-02-2000,4.7,
23-02-2000,0.4,
24-02-2000,0.2,
25-02-2000,0.2,
26-02-2000,0.2,
27-02-2000,0.6,
28-02-2000,2.2,
29-02-2000,1.1,
01-03-2000,0,
02-03-2000,0,
03-03-2000,0,
04-03-2000,0,
05-03-2000,0,
06-03-2000,0,
07-03-2000,0,
08-03-2000,0,
09-03-2000,0,
10-03-2000,0,
11-03-2000,0,
12-03-2000,0,
13-03-2000,0,
14-03-2000,0,
15-03-2000,0,
16-03-2000,0,
17-03-2000,0,
18-03-2000,0,
19-03-2000,0,
20-03-2000,0,
21-03-2000,11.6,
22-03-2000,6.2,
23-03-2000,0,
24-03-2000,6.9,
25-03-2000,1,
26-03-2000,0,
27-03-2000,4.8,
28-03-2000,2,
29-03-2000,0,
30-03-2000,0.3,
31-03-2000,2.4,
01-04-2000,15.4,
02-04-2000,3.2,
03-04-2000,9.5,
04-04-2000,3.3,
05-04-2000,1.4,
06-04-2000,0,
07-04-2000,0,
08-04-2000,5.8,
09-04-2000,2.5,
10-04-2000,0,
11-04-2000,5.3,
12-04-2000,3.2,
13-04-2000,0,
14-04-2000,16,
15-04-2000,0.6,
16-04-2000,2.5,
17-04-2000,9.2,
18-04-2000,13.4,
19-04-2000,8,
20-04-2000,4.2,
21-04-2000,10.2,
22-04-2000,10.6,
23-04-2000,1.7,
24-04-2000,30.7,
25-04-2000,1.9,
26-04-2000,4.6,
27-04-2000,3.8,
28-04-2000,0.4,
29-04-2000,4.5,
30-04-2000,0.5,
01-05-2000,3.4,
02-05-2000,0.8,
03-05-2000,0,
04-05-2000,9,
05-05-2000,6.6,
06-05-2000,11.7,
07-05-2000,1.2,
08-05-2000,2.3,
09-05-2000,5.9,
10-05-2000,14.9,
11-05-2000,11.6,
12-05-2000,0,
13-05-2000,0,
14-05-2000,0,
15-05-2000,0,
16-05-2000,0,
17-05-2000,0,
18-05-2000,0,
19-05-2000,0,
20-05-2000,0,
21-05-2000,0,
22-05-2000,0,
23-05-2000,0,
24-05-2000,0.2,
25-05-2000,0.4,
26-05-2000,3.1,
27-05-2000,2.3,
28-05-2000,1.5,
29-05-2000,0,
30-05-2000,0,
31-05-2000,0,
01-06-2000,0,
02-06-2000,0,
03-06-2000,0,
04-06-2000,0,
05-06-2000,0,
06-06-2000,0,
07-06-2000,0,
08-06-2000,3,
09-06-2000,8,
10-06-2000,0.1,
11-06-2000,0.1,
12-06-2000,0,
13-06-2000,0,
14-06-2000,0,
15-06-2000,0,
16-06-2000,0,
17-06-2000,0,
18-06-2000,0,
19-06-2000,0,
20-06-2000,0.3,
21-06-2000,0.1,
22-06-2000,0,
23-06-2000,0,
24-06-2000,0,
25-06-2000,0,
26-06-2000,0,
27-06-2000,1,
28-06-2000,0,
29-06-2000,0,
30-06-2000,1,
01-01-2000,0,
02-01-2000,0,
03-01-2000,0,
04-01-2000,0,
05-01-2000,0,
06-01-2000,0,
07-01-2000,0,
08-01-2000,10.6,
09-01-2000,0,
10-01-2000,0,
11-01-2000,0,
12-01-2000,0,
13-01-2000,21.5,
14-01-2000,5.4,
15-01-2000,0,
16-01-2000,0,
17-01-2000,0,
18-01-2000,0,
19-01-2000,0,
20-01-2000,0,
21-01-2000,0,
22-01-2000,0,
23-01-2000,0,
24-01-2000,0,
25-01-2000,0,
26-01-2000,0,
27-01-2000,0,
28-01-2000,0,
