año,mes,incendios
2000,1,83
2000,2,85
2000,3,993
2000,4,18
2000,5,37
2000,6,151
2000,7,48
2000,8,490
2000,9,662
2000,10,27
2001,2,83
2001,4,114
2001,5,88
2001,6,166
2001,7,85
2001,8,198
2001,9,702
2001,10,20
2001,11,185
2001,12,467
2002,1,30
2002,2,193
2002,3,472
2002,4,360
2002,5,26
2002,6,75
2002,7,169
2002,8,689
2002,9,390
2002,10,33
2003,1,11
2003,2,10
2003,3,305
2003,4,194
2003,5,93
2003,6,182
2003,7,66
2003,8,571
2003,9,448
2003,10,22
2003,11,2
2003,12,3
2004,1,3
2004,2,457
2004,3,303
2004,4,396
2004,5,151
2004,6,352
2004,7,342
2004,8,175
2004,9,110
2004,10,64
2004,11,50
2004,12,16
2005,1,89
2005,2,345
2005,3,590
2005,4,82
2005,5,40
2005,6,108
2005,7,257
2005,8,752
2005,9,168
2005,10,168
2005,11,4
2005,12,49
2006,1,15
2006,2,149
2006,3,25
2006,4,64
2006,5,112
2006,6,93
2006,7,381
2006,8,801
2006,9,151
2006,11,6
2006,12,10
2007,1,5
2007,2,3
2007,3,32
2007,4,64
2007,5,18
2007,6,2
2007,7,11
2007,8,29
2007,9,97
2007,10,72
2007,11,234
2007,12,34
2008,1,40
2008,2,220
2008,3,61
2008,4,56
2008,5,7
2008,6,16
2008,7,35
2008,8,48
2008,9,28
2008,10,34
2008,11,4
2008,12,17
2009,1,3
2009,2,101
2009,3,310
2009,4,52
2009,5,42
2009,6,17
2009,7,14
2009,8,88
2009,9,202
2009,10,63
2009,12,5
2010,1,2
2010,2,10
2010,3,98
2010,4,68
2010,5,28
2010,6,36
2010,7,63
2010,8,318
2010,9,125
2010,10,61
2010,11,2
2010,12,4
2011,1,27
2011,2,105
2011,3,170
2011,4,172
2011,5,42
2011,6,139
2011,7,86
2011,8,110
2011,9,155
2011,10,613
2011,11,3
2011,12,4
2012,1,14
2012,2,222
2012,3,335
2012,4,39
2012,5,23
2012,6,14
2012,7,22
2012,8,51
2012,9,129
2012,10,8
2012,11,2
2012,12,1
2013,1,3
2013,2,1
2013,3,11
2013,4,42
2013,5,21
2013,6,22
2013,7,55
2013,8,203
2013,9,252
2013,10,4
2013,11,13
2013,12,62
2014,3,45
2014,4,15
2014,5,38
2014,6,19
2014,7,12
2014,8,39
2014,9,15
2014,10,10
2015,1,18
2015,3,86
2015,4,63
2015,5,25
2015,6,48
2015,7,131
2015,8,143
2015,9,54
2015,10,10
2015,11,4
2015,12,26
2016,1,1
2016,3,18
2016,4,7
2016,5,11
2016,6,16
2016,7,56
2016,8,187
2016,9,103
2016,10,17
2016,11,6
2016,12,33
2017,1,42
2017,2,19
2017,3,78
2017,4,131
2017,5,8
2017,6,48
2017,7,51
2017,8,143
2017,9,36
2017,10,186
2017,11,9
2017,12,3
2018,2,11
2018,3,1
2018,4,15
2018,5,18
2018,6,4
2018,7,2
2018,8,35
2018,9,51
2018,10,49
2018,11,2
2018,12,2
2019,1,23
2019,2,42
2019,3,85
2019,4,16
2019,5,21
2019,6,10
2019,7,14
2019,8,8
2019,9,86
2019,10,9
2020,1,3
2020,2,24
2020,3,16
2020,4,6
2020,5,20
2020,6,4
2020,7,73
2020,8,50
2020,9,81
2020,10,2
2020,11,4
2021,1,6
2021,3,25
2021,4,14
2021,5,17
2021,6,3
2021,7,6
2021,8,29
2021,9,8
2021,10,3
2021,11,7
2021,12,3
2022,1,4
2022,3,3
2022,4,8
2022,5,5
2022,7,10
2022,8,16
2022,9,2
